Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
The Sanctuary Bar & Kitchen,4.7,Anjuna,Multicuisine,1800,goa,30,990.00,810.00
Toula Bar & Kitchen,5.0,Candolim,Italian,1500,goa,20,675.00,825.00
Food Exchange,4.5,Novotel Goa Resorts & Spa,Multicuisine,2000,goa,25,1000.00,1000.00
The Goan Room,4.5,Dona Paula Panaji,"Goan, Seafood, Cocktail Menu",1000,goa,20,450.00,550.00
Zodiac - All Day Dining Benaulim,4.0,Fortune Resort Benaulim,"Seafood, Multicuisine",1100,goa,25,550.00,550.00
Spice Goa,4.4,Sangolda,Multicuisine,1500,goa,0,0.00,1500.00
Thai N Wok,5.0,Miramar,Thai,1100,goa,10,385.00,715.00
Raeeth,3.2,Ozran Beach Road ,Mediterranean,1500,goa,10,525.00,975.00
Saz on the Beach,2.5,Morjim,Multicuisine,1700,goa,30,935.00,765.00
Bbq Company,3.3,Bailey Road,Multicuisine,1200,patna,0,0.00,1200.00
Barbeque Company,4.1,Boring Road,"Multicuisine, Barbeque",1800,patna,0,0.00,1800.00
Pirates Of Grill,4.2,Lodipur,Multicuisine,1800,patna,0,0.00,1800.00
Barbeque Nation,4.5,Bailey Road,Multicuisine,1900,patna,0,0.00,1900.00
True Kababs Flavour of Hyderabad,4.9,Sri Krishna Puri,Chinese,900,patna,0,0.00,900.00
Patna Rasoi,4.3,Fraser Road Area,Multicuisine,600,patna,0,0.00,600.00
Fiesta By Barbeque Nation,4.8,KP Mall,Multicuisine,1600,patna,0,0.00,1600.00
The Spice Routes,4.0,Danapur,Multicuisine,1000,patna,0,0.00,1000.00
Aaharam,4.0,Rukanpura,Indian,500,patna,0,0.00,500.00
Traffic Jamm,4.0,Rukanpura,Multicuisine,500,patna,0,0.00,500.00
Bloom kitchen,4.1,Kankarbagh,Multicuisine,700,patna,0,0.00,700.00
Cafe Coca Mocha,4.0,Anisabad,Cafe,1000,patna,0,0.00,1000.00
Prashant Pizza,4.0,Rajeev Nagar,Pizza,600,patna,0,0.00,600.00
Dark Delight Restaurant & Cafe,4.3,Anandpuri,"Chinese, Indian",600,patna,0,0.00,600.00
Hotel Star GloryRise,4.0,Kumhrar,Multicuisine,1000,patna,0,0.00,1000.00
Batido The Shake Paradise,4.0,Rajeev Nagar,"Bakery, Cafe",500,patna,0,0.00,500.00
Mahi Seven Star Restaurant,4.0,Machhua Toli,"Chinese, Indian",1000,patna,0,0.00,1000.00
Foodiegram,2.0,Lodipur,Multicuisine,800,patna,0,0.00,800.00
Heden Cafe,4.2,Sri Krishna Puri,Multicuisine,700,patna,40,455.00,245.00
Cafe 13,4.0,Boring Road,"Chinese, Italian",800,patna,30,440.00,360.00
