Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Urban Indian,5.0,"Arpora, North Goa",Indian,₹ 1100 for two approx.,20% Off + 25% Off
Rio Cafe Bar,4.8,"Calangute, North Goa",Continental,₹ 1000 for two approx.,25% Off + 25% Off
Backdrop Community Bar & Kitchen,4.0,"Calangute, North Goa",Multicuisine,₹ 1000 for two approx.,30% Off + 25% Off
Meraki Roof Top,4.0,"Le Seasons Resort, Goa",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
Cafe De Port - Alfresco,5.0,"Arpora, North Goa",Multicuisine,₹ 2200 for two approx.,25% Off + 25% Off
Kava - Fairfield by Marriott Calangute,5.0,Fairfield by Marriott Goa Calangute,Multicuisine,₹ 1000 for two approx.,25% Off + 25% Off
Bar Asia,5.0,Novotel Goa Shrem Hotel,Finger Food,₹ 1500 for two approx.,25% Off + 25% Off
Popistro,5.0,"Calangute, North Goa",Indian,₹ 500 for two approx.,20% Off + 25% Off
Pirates Deck,4.0,"Saligao, North Goa",Indian,₹ 1000 for two approx.,25% Off + 25% Off
CHY Lounge & Bar,4.0,Novotel Goa Resorts & Spa,Finger Food,₹ 1200 for two approx.,25% Off + 25% Off
Julep,4.0,"Calangute Baga Road, Goa",Multicuisine,₹ 2500 for two approx.,25% Off + 25% Off
Aur Jalsa,5.0,"Calangute Baga Road, Goa","Indian, Rajasthani",₹ 4500 for two approx.,20% Off + 25% Off
Urban Jungle,5.0,"Saligao, North Goa","North Indian, Continental",₹ 1200 for two approx.,20% Off + 25% Off
Southi,4.6,"Candolim, North Goa",South Indian,₹ 700 for two approx.,10% Off + 25% Off
Aamchi - Maharashtrian Kitchen & Bar,5.0,"Calangute, North Goa",Maharashtrian,₹ 1200 for two approx.,15% Off + 25% Off
Jolene by the Sea,3.1,"Anjuna, North Goa",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Mamagoto,4.2,"Panaji, North Goa",Pan Asian,₹ 1500 for two approx.,20% Off + 25% Off
G-Shot Coffee Roastery & Cafe,4.4,"Assagao, North Goa","Juices, Shakes",₹ 1100 for two approx.,25% Off :Payeazy
Olive Bar and Kitchen,4.5,"Vagator, North Goa","European, Pizza",₹ 2000 for two approx.,15% Off + 25% Off
The Little Place,4.0,"Candolim, North Goa",Cafe,₹ 600 for two approx.,15% Off + 25% Off
Richita,4.0,"Calangute, North Goa","Indian, Multicuisine",₹ 800 for two approx.,15% Off + 25% Off
Goa Gossips,4.0,"Arpora, North Goa",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Sessions,4.7,Hard Rock Hotel Goa,"Beverages, Indian",₹ 2000 for two approx.,10% Off + 25% Off
Bistro Sun & Sea,5.0,"Calangute, North Goa",Goan,₹ 1000 for two approx.,10% Off + 25% Off
Cafe Meu Lar by Barista,5.0,"Panaji, North Goa  | View All(2) Outlets","Coffee, Cafe",₹ 300 for two approx.,40% Off + 25% Off
Ziba,4.7,"Baga, North Goa",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Harman Punjabi,4.0,"Arpora, North Goa",North Indian,₹ 500 for two approx.,10% Off + 25% Off
